Year,State,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
2019,Mississippi,45792.0,57191.0,31067.0,27964.0,51277.0,,42465.0,42445.0,57553.0,37372.0,0.4896,58503.0,29341.0,34908.0,24972.0,1979664.0,470174.0,128435.0,110712.0,270712.0,19844.0
2020,Mississippi,47254.0,59265.5,32222.0,35114.0,53831.5,,37897.0,44977.0,59435.5,40156.5,0.48519999999999996,61269.0,30791.5,36941.0,26226.5,1973915.5,469374.5,123023.5,117839.5,287184.0,21430.0
2021,Mississippi,48716.0,61340.0,33377.0,42264.0,56386.0,,33329.0,47509.0,61318.0,42941.0,0.4808,64035.0,32242.0,38974.0,27481.0,1968167.0,468575.0,117612.0,124967.0,303656.0,23016.0
2022,Mississippi,52719.0,64236.0,36215.0,49994.0,55873.0,,49635.0,48513.0,64313.0,52648.0,0.4806,66973.0,35467.0,41310.0,30531.0,1963322.0,481433.0,122730.0,128315.0,297480.0,24020.0
2019,Missouri,57409.0,60756.0,39102.0,31186.0,75505.0,48300.0,47432.0,49751.0,60954.0,50839.0,0.4633,73457.0,34558.0,40522.0,29965.0,4206162.0,1108345.0,200514.0,297889.0,775808.0,55940.0
2020,Missouri,59628.0,63212.0,40117.0,42521.0,79468.0,65780.5,53922.0,50277.5,63387.0,52008.5,0.46695,76270.5,35820.5,41636.5,30711.5,4216398.0,1109719.0,196657.5,300108.5,799511.5,55233.5
2021,Missouri,61847.0,65668.0,41132.0,53856.0,83431.0,83261.0,60412.0,50804.0,65820.0,53178.0,0.4706,79084.0,37083.0,42751.0,31458.0,4226634.0,1111093.0,192801.0,302328.0,823215.0,54527.0
2022,Missouri,64811.0,68771.0,44631.0,65788.0,82869.0,46136.0,58488.0,58716.0,68931.0,56460.0,0.4687,83420.0,40267.0,46270.0,34222.0,4236010.0,1084843.0,191135.0,319714.0,835865.0,60726.0
2019,Montana,57153.0,58934.0,41530.0,32100.0,48209.0,,60331.0,46687.0,59306.0,46458.0,0.4597,73014.0,31313.0,37976.0,25500.0,741950.0,175333.0,35746.0,50303.0,171309.0,10567.0
2020,Montana,60201.0,61771.0,43011.0,34300.5,53706.5,,61928.0,55589.0,62069.5,51855.5,0.4645,76486.0,33292.5,39674.0,27850.5,754354.0,173289.5,35013.5,54673.5,171343.0,11852.5
2021,Montana,63249.0,64608.0,44492.0,36501.0,59204.0,,63525.0,64491.0,64833.0,57253.0,0.4693,79958.0,35272.0,41372.0,30201.0,766758.0,171246.0,34281.0,59044.0,171377.0,13138.0
2022,Montana,67631.0,69744.0,44492.0,40063.0,56041.0,78053.0,56890.0,61907.0,69772.0,60797.0,0.4652,83580.0,37573.0,43975.0,32050.0,785438.0,179439.0,38153.0,57267.0,179708.0,12004.0
2019,National,65712.0,69823.0,43862.0,45476.0,93759.0,66464.0,53097.0,62085.0,71664.0,55658.0,0.4811,80944.0,36519.0,42101.0,30944.0,224898568.0,51584272.0,8898081.0,13906208.0,45730479.0,3323850.0
2020,National,67714.5,72377.5,45318.0,49312.5,97165.5,68218.5,55384.0,62969.5,73538.0,58112.0,0.48295,83375.0,38389.5,44147.5,32363.0,226546016.0,51255998.0,8983350.5,14227562.0,47106269.5,3514254.0
2021,National,69717.0,74932.0,46774.0,53149.0,100572.0,69973.0,57671.0,63854.0,75412.0,60566.0,0.4848,85806.0,40260.0,46194.0,33782.0,228193464.0,50927724.0,9068620.0,14548916.0,48482060.0,3704658.0
2022,National,74755.0,79933.0,51374.0,58082.0,106954.0,72411.0,63290.0,69704.0,80404.0,65882.0,0.4863,92148.0,42542.0,50232.0,36608.0,229707137.0,50800686.0,9107976.0,14888891.0,49641033.0,3843037.0
2019,Nebraska,63229.0,65462.0,39137.0,50588.0,52444.0,133203.0,59894.0,51338.0,66790.0,51006.0,0.44,80062.0,36077.0,41536.0,30661.0,1271770.0,282195.0,44194.0,94746.0,277159.0,16959.0
