State,Year,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
New York,2021,74314,82802,54443,53265,81411,37297,51230,67768,83392,55245,0.5140,92454,43462,50088,39651,13987094,2861768,547658,694070,3105839,243446
North Carolina,2021,61972,69522,42961,39932,103348,67456,52545,57619,69704,53880,0.4801,77601,37218,42313,31909,7245632,1504263,298331,445998,1573681,111007
North Dakota,2021,66519,68951,45023,42875,70370,250001,36680,57416,69004,51546,0.4531,89504,39438,46066,31413,506739,113177,20139,34626,113314,6869
Ohio,2021,62262,66881,37860,44636,83133,,47179,52711,66987,52154,0.4687,80760,38214,44907,32031,8117973,2343138,321621,558656,1536624,100007
Oklahoma,2021,55826,59946,39099,50027,69106,52432,50628,51009,60323,50990,0.4618,69967,34460,40525,28717,2639889,677761,133900,200810,483168,33371
Oregon,2021,71562,72853,60927,64484,93857,56377,64620,63291,73077,63296,0.4611,88085,40063,44855,34437,3030635,532145,132446,248274,680306,57211
Pennsylvania,2021,68957,73603,42199,58829,89308,39867,45524,61415,73738,53229,0.4720,87500,40983,48552,34515,9161945,2681099,366880,492704,1887722,157572
Rhode Island,2021,74008,81390,57881,,93809,,47365,52770,82358,48922,0.4680,97304,41891,47009,36255,773464,174827,39604,44990,161594,15907
South Carolina,2021,59318,67300,40310,42615,77989,,51643,55127,67329,54297,0.4760,73901,35987,41867,30931,3598398,864531,162439,220799,704740,43169
South Dakota,2021,66143,69690,39986,27011,76693,93635,51341,52617,69702,57045,0.4522,82562,37149,43280,32127,590377,144509,28462,35491,127258,7013
Tennessee,2021,59695,63577,42413,49324,79923,68316,53691,55440,63701,53917,0.4821,74709,36663,41575,31619,4814533,1229687,272748,320462,924404,71681
